id,Country,Year,Asylum applicants,Asylum applicants per capita,Asylum applicants per GDP,Asylum applicants (first instance),Asylum applicants (first instance) per capita,Asylum applicants (first instance) per GDP,Total positive decisions,Total positive decisions per capita,Total positive decisions per GDP,Geneva Convention status grants,Geneva Convention status grants per capita,Geneva Convention status grants per GDP
LU,Luxembourg,2013,1070,199,22,990,184,20,130,24,3,110,20,2
LV,Latvia,2013,195,10,9,185,9,8,25,1,1,5,0,0
MT,Malta,2013,2250,533,283,2200,521,277,1605,380,202,45,11,6
NL,Netherlands,2013,13060,78,20,9815,58,15,5970,36,9,1150,7,2
NO,Norway,2013,11980,237,30,11475,227,29,5770,114,15,4495,89,11
PL,Poland,2013,15245,40,39,13975,37,36,685,2,2,195,1,1
PT,Portugal,2013,505,5,3,505,5,3,135,1,1,20,0,0
RO,Romania,2013,1495,7,10,1405,7,10,915,5,6,385,2,3
SE,Sweden,2013,54365,569,123,49355,516,112,24020,251,54,6750,71,15
SI,Slovenia,2013,270,13,7,240,12,7,35,2,1,25,1,1
SK,Slovakia,2013,440,8,6,290,5,4,70,1,1,5,0,0
UK,UK,2013,30820,48,15,29875,47,14,8550,13,4,7525,12,4
AT,Austria,2014,28065,330,84,25700,302,77,7175,84,22,5655,66,17
BE,Belgium,2014,22850,204,57,14130,126,35,8055,72,20,6470,58,16
BG,Bulgaria,2014,11080,153,258,10805,149,251,7000,97,163,5165,71,120
CH,Switzerland,2014,23770,292,43,22130,272,40,15410,189,28,6140,75,11
CY,Cyprus,2014,1745,203,100,1480,172,85,995,116,57,55,6,3
CZ,Czechia,2014,1155,11,7,915,9,6,375,4,2,75,1,0
DE,Germany,2014,202815,251,69,173070,214,59,40560,50,14,33310,41,11
DK,Denmark,2014,14715,261,55,14565,259,55,5480,97,21,3765,67,14
EE,Estonia,2014,155,12,8,145,11,7,20,2,1,20,2,1
GR,Greece,2014,9435,86,53,7590,69,43,1970,18,11,1270,12,7
ES,Spain,2014,5615,12,5,5460,12,5,1585,3,2,385,1,0
FI,Finland,2014,3625,66,18,3495,64,17,1270,23,6,490,9,2
FR,France,2014,64310,97,30,58845,89,27,14815,22,7,11980,18,6
HR,Croatia,2014,450,11,10,380,9,9,25,1,1,15,0,0
HU,Hungary,2014,42775,433,403,41215,417,388,510,5,5,240,2,2
IE,Ireland,2014,1450,31,7,1440,31,7,400,9,2,130,3,1
IS,Iceland,2014,170,52,13,170,52,13,30,9,2,15,5,1
IT,Italy,2014,64625,106,40,63655,105,39,20580,34,13,3640,6,2
LI,Liechtenstein,2014,75,202,15,75,202,15,0,0,0,0,0,0
LT,Lithuania,2014,440,15,12,385,13,11,70,2,2,15,1,0
LU,Luxembourg,2014,1150,209,22,1030,187,20,120,22,2,105,19,2
LV,Latvia,2014,375,19,16,365,18,15,25,1,1,5,0,0
