id,Country,Year,Asylum applicants,Asylum applicants per capita,Asylum applicants per GDP,Asylum applicants (first instance),Asylum applicants (first instance) per capita,Asylum applicants (first instance) per GDP,Total positive decisions,Total positive decisions per capita,Total positive decisions per GDP,Geneva Convention status grants,Geneva Convention status grants per capita,Geneva Convention status grants per GDP
GR,Greece,2022,37380,353,180,29135,275,140,19245,181,93,18730,177,90
ES,Spain,2022,117960,249,89,116150,245,88,35125,74,26,6815,14,5
FI,Finland,2022,5805,105,22,4835,87,18,1235,22,5,960,17,4
FR,France,2022,156570,231,59,137605,203,52,35540,52,13,29305,43,11
HR,Croatia,2022,12870,332,191,12750,329,189,20,1,0,20,1,0
HU,Hungary,2022,45,0,0,45,0,0,30,0,0,10,0,0
IE,Ireland,2022,13660,270,27,13645,270,27,3590,71,7,1440,28,3
IT,Italy,2022,84290,143,44,77200,131,40,25680,44,13,7610,13,4
LI,Liechtenstein,2022,80,204,14,70,178,12,10,25,2,0,0,0
LT,Lithuania,2022,1025,37,15,905,32,14,305,11,5,290,10,4
LU,Luxembourg,2022,2445,379,31,2395,371,31,975,151,12,720,112,9
LV,Latvia,2022,620,33,16,545,29,14,230,12,6,210,11,5
MT,Malta,2022,1320,253,78,915,176,54,190,36,11,15,3,1
NL,Netherlands,2022,37060,211,39,35530,202,38,15180,86,16,9245,53,10
NO,Norway,2022,4840,89,9,4650,86,8,1100,20,2,1015,19,2
PL,Poland,2022,9825,26,15,7700,20,12,3870,10,6,300,1,0
PT,Portugal,2022,2120,20,9,1980,19,8,675,7,3,615,6,3
RO,Romania,2022,12355,65,43,12065,63,42,1025,5,4,490,3,2
SE,Sweden,2022,18640,178,33,14075,135,25,3390,32,6,2200,21,4
SI,Slovenia,2022,6785,322,115,6645,315,113,205,10,3,40,2,1
SK,Slovakia,2022,545,10,5,505,9,5,70,1,1,15,0,0
