Year,State_District_Code,District_ID,CD,State,Name,Legislative_Experience,dwn1,icpsr,Female,Same,Black,Latino/a,Asian,Native_Amer,MENA,Party,cosponsorship,bills_introduced,leadership_score,state_abb,District_Race_W,District_Race_B,District_Race_A,District_L,PCI,2020_Prez_Vote_D,prez_vote_d_2016,prez_vote_d_2012,Group,treatment
2020,NC04,289,4,North Carolina,"PRICE, David Eugene",NA,-0.343,15438,0,1,0,0,0,0,0,1,415,15,0.390355987,NC,0.553,0.217,0.093,0.103,42147,66.55367752,65.17602351,63.2,B,0
2013,NJ09,252,9,New Jersey,"PASCRELL, William J., Jr.",NA,-0.367,29741,0,1,0,0,0,0,0,1,170,13,0.677126495,NJ,0.406,0.097,0.137,0.347,34015,62.19051498,64.30414327,68.4,B,0
2014,NJ09,252,9,New Jersey,"PASCRELL, William J., Jr.",NA,-0.367,29741,0,1,0,0,0,0,0,1,288,21,0.662787379,NJ,0.404,0.093,0.124,0.361,33195,62.19051498,64.30414327,68.4,B,0
2015,NJ09,252,9,New Jersey,"PASCRELL, William J., Jr.",NA,-0.367,29741,0,1,0,0,0,0,0,1,252,15,0.323934877,NJ,0.383,0.094,0.141,0.365,33278,62.19051498,64.30414327,68.4,B,0
2016,NJ09,252,9,New Jersey,"PASCRELL, William J., Jr.",NA,-0.367,29741,0,1,0,0,0,0,0,1,401,26,0.752576001,NJ,0.388,0.09,0.124,0.376,35863,62.19051498,64.30414327,68.4,B,0
2017,NJ09,252,9,New Jersey,"PASCRELL, William J., Jr.",NA,-0.367,29741,0,1,0,0,0,0,0,1,273,13,0.549836573,NJ,0.381,0.092,0.131,0.379,35504,62.19051498,64.30414327,68.4,B,0
2018,NJ09,252,9,New Jersey,"PASCRELL, William J., Jr.",NA,-0.367,29741,0,1,0,0,0,0,0,1,392,17,0.508942486,NJ,0.373,0.088,0.133,0.387,37633,62.19051498,64.30414327,68.4,B,0
2019,NJ09,252,9,New Jersey,"PASCRELL, William J., Jr.",NA,-0.367,29741,0,1,0,0,0,0,0,1,283,19,0.84,NJ,0.362,0.082,0.135,0.401,40007,62.19051498,64.30414327,68.4,B,0
2020,NJ09,252,9,New Jersey,"PASCRELL, William J., Jr.",NA,-0.367,29741,0,1,0,0,0,0,0,1,415,35,0.762000525,NJ,0.369,0.09,0.134,0.387,37546,62.19051498,64.30414327,68.4,B,0
2013,NY10,268,10,New York,"NADLER, Jerrold Lewis",NA,-0.508,29377,0,1,0,0,0,0,0,1,238,16,0.684477999,NY,0.638,0.041,0.179,0.121,66889,76.13279028,78.30422417,73.6,B,0
2014,NY10,268,10,New York,"NADLER, Jerrold Lewis",NA,-0.508,29377,0,1,0,0,0,0,0,1,367,22,0.73680385,NY,0.633,0.031,0.184,0.125,68362,76.13279028,78.30422417,73.6,B,0
2015,NY10,268,10,New York,"NADLER, Jerrold Lewis",NA,-0.508,29377,0,1,0,0,0,0,0,1,252,11,0.608419531,NY,0.612,0.043,0.195,0.122,71265,76.13279028,78.30422417,73.6,B,0
2016,NY10,268,10,New York,"NADLER, Jerrold Lewis",NA,-0.508,29377,0,1,0,0,0,0,0,1,396,15,0.585442932,NY,0.632,0.031,0.193,0.124,74992,76.13279028,78.30422417,73.6,B,0
2017,NY10,268,10,New York,"NADLER, Jerrold Lewis",NA,-0.508,29377,0,1,0,0,0,0,0,1,332,13,0.673591135,NY,0.618,0.04,0.187,0.128,73661,76.13279028,78.30422417,73.6,B,0
2018,NY10,268,10,New York,"NADLER, Jerrold Lewis",NA,-0.508,29377,0,1,0,0,0,0,0,1,504,24,0.715321346,NY,0.626,0.028,0.188,0.129,76210,76.13279028,78.30422417,73.6,B,0
2019,NY10,268,10,New York,"NADLER, Jerrold Lewis",NA,-0.508,29377,0,1,0,0,0,0,0,1,366,23,0.876,NY,0.616,0.03,0.186,0.134,84428,76.13279028,78.30422417,73.6,B,0
2020,NY10,268,10,New York,"NADLER, Jerrold Lewis",NA,-0.508,29377,0,1,0,0,0,0,0,1,595,37,0.840069754,NY,0.62,0.032,0.189,0.126,77566,76.13279028,78.30422417,73.6,B,0
2013,NY16,274,16,New York,"ENGEL, Eliot Lance",NA,-0.408,15603,0,1,0,0,0,0,0,1,153,25,0.695532724,NY,0.394,0.303,0.043,0.234,43035,75.29255749,75.10896671,73.7,B,0
2014,NY16,274,16,New York,"ENGEL, Eliot Lance",NA,-0.408,15603,0,1,0,0,0,0,0,1,279,31,0.703601564,NY,0.39,0.29,0.055,0.241,41991,75.29255749,75.10896671,73.7,B,0
2015,NY16,274,16,New York,"ENGEL, Eliot Lance",NA,-0.408,15603,0,1,0,0,0,0,0,1,257,26,0.695983617,NY,0.373,0.304,0.05,0.249,44132,75.29255749,75.10896671,73.7,B,0
2016,NY16,274,16,New York,"ENGEL, Eliot Lance",NA,-0.408,15603,0,1,0,0,0,0,0,1,398,36,0.819323986,NY,0.36,0.319,0.06,0.239,44811,75.29255749,75.10896671,73.7,B,0
2017,NY16,274,16,New York,"ENGEL, Eliot Lance",NA,-0.408,15603,0,1,0,0,0,0,0,1,309,27,0.864214507,NY,0.358,0.312,0.052,0.252,46639,75.29255749,75.10896671,73.7,B,0
2018,NY16,274,16,New York,"ENGEL, Eliot Lance",NA,-0.408,15603,0,1,0,0,0,0,0,1,500,46,0.85753863,NY,0.354,0.301,0.049,0.269,48130,75.29255749,75.10896671,73.7,B,0
2019,NY16,274,16,New York,"ENGEL, Eliot Lance",NA,-0.408,15603,0,1,0,0,0,0,0,1,379,55,0.979,NY,0.348,0.283,0.05,0.281,48562,75.29255749,75.10896671,73.7,B,0
2020,NY16,274,16,New York,"ENGEL, Eliot Lance",NA,-0.408,15603,0,1,0,0,0,0,0,1,554,74,1,NY,0.344,0.303,0.054,0.267,46866,75.29255749,75.10896671,73.7,B,0
2013,NY18,276,18,New York,"MALONEY, Sean Patrick",NA,-0.238,21344,0,1,0,0,0,0,0,1,158,7,0.458898989,NY,0.699,0.087,0.03,0.161,39458,51.77754163,47.08510213,51.4,B,0
2014,NY18,276,18,New York,"MALONEY, Sean Patrick",NA,-0.238,21344,0,1,0,0,0,0,0,1,274,16,0.544877159,NY,0.692,0.09,0.03,0.165,39306,51.77754163,47.08510213,51.4,B,0
2015,NY18,276,18,New York,"MALONEY, Sean Patrick",NA,-0.238,21344,0,1,0,0,0,0,0,1,206,16,0.463591413,NY,0.686,0.094,0.03,0.164,41001,51.77754163,47.08510213,51.4,B,0
2016,NY18,276,18,New York,"MALONEY, Sean Patrick",NA,-0.238,21344,0,1,0,0,0,0,0,1,353,29,0.408490506,NY,0.687,0.086,0.032,0.163,41318,51.77754163,47.08510213,51.4,B,0
2017,NY18,276,18,New York,"MALONEY, Sean Patrick",NA,-0.238,21344,0,1,0,0,0,0,0,1,281,24,0.52217935,NY,0.679,0.085,0.032,0.172,43473,51.77754163,47.08510213,51.4,B,0
2018,NY18,276,18,New York,"MALONEY, Sean Patrick",NA,-0.238,21344,0,1,0,0,0,0,0,1,476,35,0.561966368,NY,0.676,0.091,0.029,0.178,41717,51.77754163,47.08510213,51.4,B,0
2019,NY18,276,18,New York,"MALONEY, Sean Patrick",NA,-0.238,21344,0,1,0,0,0,0,0,1,396,21,0.841,NY,0.666,0.099,0.031,0.183,43273,51.77754163,47.08510213,51.4,B,0
2020,NY18,276,18,New York,"MALONEY, Sean Patrick",NA,-0.238,21344,0,1,0,0,0,0,0,1,563,29,0.755281249,NY,0.67,0.09,0.031,0.178,42995,51.77754163,47.08510213,51.4,B,0
2013,NY20,278,20,New York,"TONKO, Paul",NA,-0.421,20934,0,1,0,0,0,0,0,1,261,10,0.374736523,NY,0.781,0.084,0.043,0.059,34867,59.32059981,53.95086148,59.2,B,0
2014,NY20,278,20,New York,"TONKO, Paul",NA,-0.421,20934,0,1,0,0,0,0,0,1,409,13,0.417061799,NY,0.777,0.084,0.047,0.061,35323,59.32059981,53.95086148,59.2,B,0
2015,NY20,278,20,New York,"TONKO, Paul",NA,-0.421,20934,0,1,0,0,0,0,0,1,308,6,0.319310537,NY,0.763,0.084,0.052,0.063,36256,59.32059981,53.95086148,59.2,B,0
2016,NY20,278,20,New York,"TONKO, Paul",NA,-0.421,20934,0,1,0,0,0,0,0,1,469,13,0.410942758,NY,0.759,0.085,0.05,0.063,37490,59.32059981,53.95086148,59.2,B,0
2017,NY20,278,20,New York,"TONKO, Paul",NA,-0.421,20934,0,1,0,0,0,0,0,1,306,9,0.529937418,NY,0.757,0.091,0.053,0.065,38065,59.32059981,53.95086148,59.2,B,0
2018,NY20,278,20,New York,"TONKO, Paul",NA,-0.421,20934,0,1,0,0,0,0,0,1,468,14,0.517900323,NY,0.751,0.086,0.052,0.069,37257,59.32059981,53.95086148,59.2,B,0
2019,NY20,278,20,New York,"TONKO, Paul",NA,-0.421,20934,0,1,0,0,0,0,0,1,424,21,0.941,NY,0.749,0.087,0.053,0.067,38883,59.32059981,53.95086148,59.2,B,0
2020,NY20,278,20,New York,"TONKO, Paul",NA,-0.421,20934,0,1,0,0,0,0,0,1,604,29,0.906612244,NY,0.75,0.087,0.051,0.068,38534,59.32059981,53.95086148,59.2,B,0
2013,NY26,284,26,New York,"HIGGINS, Brian",NA,-0.348,20519,0,1,0,0,0,0,0,1,192,9,0.474560343,NY,0.703,0.181,0.033,0.06,28436,62.62587396,57.59295756,63.9,B,0
2014,NY26,284,26,New York,"HIGGINS, Brian",NA,-0.348,20519,0,1,0,0,0,0,0,1,326,11,0.491939043,NY,0.699,0.176,0.041,0.058,29094,62.62587396,57.59295756,63.9,B,0
2015,NY26,284,26,New York,"HIGGINS, Brian",NA,-0.348,20519,0,1,0,0,0,0,0,1,244,15,0.324994749,NY,0.684,0.181,0.04,0.065,29095,62.62587396,57.59295756,63.9,B,0
2016,NY26,284,26,New York,"HIGGINS, Brian",NA,-0.348,20519,0,1,0,0,0,0,0,1,354,16,0.302580567,NY,0.692,0.173,0.045,0.062,30355,62.62587396,57.59295756,63.9,B,0
2017,NY26,284,26,New York,"HIGGINS, Brian",NA,-0.348,20519,0,1,0,0,0,0,0,1,251,8,0.261554379,NY,0.684,0.176,0.045,0.065,30591,62.62587396,57.59295756,63.9,B,0
2018,NY26,284,26,New York,"HIGGINS, Brian",NA,-0.348,20519,0,1,0,0,0,0,0,1,392,9,0.224365165,NY,0.675,0.178,0.045,0.07,31114,62.62587396,57.59295756,63.9,B,0
2019,NY26,284,26,New York,"HIGGINS, Brian",NA,-0.348,20519,0,1,0,0,0,0,0,1,362,10,0.633,NY,0.677,0.176,0.046,0.07,31639,62.62587396,57.59295756,63.9,B,0
2020,NY26,284,26,New York,"HIGGINS, Brian",NA,-0.348,20519,0,1,0,0,0,0,0,1,488,17,0.631970539,NY,0.679,0.171,0.046,0.069,31767,62.62587396,57.59295756,63.9,B,0
2013,RI01,344,1,Rhode Island,"CICILLINE, David N.",NA,-0.388,21172,0,1,0,0,0,0,0,1,368,9,0.565700754,RI,0.691,0.071,0.031,0.163,32811,63.93002182,60.46845213,66.2,B,0
2014,RI01,344,1,Rhode Island,"CICILLINE, David N.",NA,-0.388,21172,0,1,0,0,0,0,0,1,560,20,0.654691735,RI,0.69,0.068,0.029,0.173,33380,63.93002182,60.46845213,66.2,B,0
2015,RI01,344,1,Rhode Island,"CICILLINE, David N.",NA,-0.388,21172,0,1,0,0,0,0,0,1,316,24,0.724154203,RI,0.685,0.074,0.036,0.163,34287,63.93002182,60.46845213,66.2,B,0
2016,RI01,344,1,Rhode Island,"CICILLINE, David N.",NA,-0.388,21172,0,1,0,0,0,0,0,1,562,35,0.748412372,RI,0.676,0.079,0.038,0.166,34843,63.93002182,60.46845213,66.2,B,0
2017,RI01,344,1,Rhode Island,"CICILLINE, David N.",NA,-0.388,21172,0,1,0,0,0,0,0,1,426,36,0.765287002,RI,0.668,0.069,0.036,0.182,35607,63.93002182,60.46845213,66.2,B,0
2018,RI01,344,1,Rhode Island,"CICILLINE, David N.",NA,-0.388,21172,0,1,0,0,0,0,0,1,675,55,0.778627631,RI,0.667,0.072,0.03,0.189,35186,63.93002182,60.46845213,66.2,B,0
2019,RI01,344,1,Rhode Island,"CICILLINE, David N.",NA,-0.388,21172,0,1,0,0,0,0,0,1,503,46,0.969,RI,0.661,0.071,0.031,0.191,37267,63.93002182,60.46845213,66.2,B,0
2020,RI01,344,1,Rhode Island,"CICILLINE, David N.",NA,-0.388,21172,0,1,0,0,0,0,0,1,793,66,0.912755375,RI,0.66,0.074,0.035,0.186,36799,63.93002182,60.46845213,66.2,B,0
2013,RI02,345,2,Rhode Island,"LANGEVIN, James",NA,-0.375,20136,0,1,0,0,0,0,0,1,221,13,0.419626572,RI,0.802,0.035,0.031,0.109,35646,55.97486807,51.06815486,59.8,B,0
2014,RI02,345,2,Rhode Island,"LANGEVIN, James",NA,-0.375,20136,0,1,0,0,0,0,0,1,350,19,0.364735309,RI,0.792,0.042,0.038,0.107,34110,55.97486807,51.06815486,59.8,B,0
2015,RI02,345,2,Rhode Island,"LANGEVIN, James",NA,-0.375,20136,0,1,0,0,0,0,0,1,254,17,0.538634958,RI,0.784,0.034,0.031,0.125,35403,55.97486807,51.06815486,59.8,B,0
2016,RI02,345,2,Rhode Island,"LANGEVIN, James",NA,-0.375,20136,0,1,0,0,0,0,0,1,429,24,0.487115822,RI,0.781,0.031,0.031,0.132,36393,55.97486807,51.06815486,59.8,B,0
2017,RI02,345,2,Rhode Island,"LANGEVIN, James",NA,-0.375,20136,0,1,0,0,0,0,0,1,322,20,0.538369634,RI,0.776,0.039,0.036,0.125,37306,55.97486807,51.06815486,59.8,B,0
2018,RI02,345,2,Rhode Island,"LANGEVIN, James",NA,-0.375,20136,0,1,0,0,0,0,0,1,441,41,0.589822071,RI,0.762,0.044,0.037,0.129,36982,55.97486807,51.06815486,59.8,B,0
2019,RI02,345,2,Rhode Island,"LANGEVIN, James",NA,-0.375,20136,0,1,0,0,0,0,0,1,315,21,0.598,RI,0.755,0.044,0.037,0.135,38720,55.97486807,51.06815486,59.8,B,0
2020,RI02,345,2,Rhode Island,"LANGEVIN, James",NA,-0.375,20136,0,1,0,0,0,0,0,1,448,35,0.598453043,RI,0.769,0.037,0.033,0.131,38220,55.97486807,51.06815486,59.8,B,0
2013,TN09,362,9,Tennessee,"COHEN, Stephen",NA,-0.398,20748,0,1,0,0,0,0,0,1,373,19,0.489508984,TN,0.253,0.649,0.016,0.067,22758,78.54384057,77.5303234,78.4,B,0
2014,TN09,362,9,Tennessee,"COHEN, Stephen",NA,-0.398,20748,0,1,0,0,0,0,0,1,607,35,0.483410101,TN,0.24,0.656,0.018,0.066,21787,78.54384057,77.5303234,78.4,B,0
2015,TN09,362,9,Tennessee,"COHEN, Stephen",NA,-0.398,20748,0,1,0,0,0,0,0,1,507,19,0.58054018,TN,0.243,0.648,0.019,0.072,23488,78.54384057,77.5303234,78.4,B,0
2016,TN09,362,9,Tennessee,"COHEN, Stephen",NA,-0.398,20748,0,1,0,0,0,0,0,1,756,30,0.607281286,TN,0.23,0.66,0.017,0.074,23965,78.54384057,77.5303234,78.4,B,0
2017,TN09,362,9,Tennessee,"COHEN, Stephen",NA,-0.398,20748,0,1,0,0,0,0,0,1,601,26,0.727690312,TN,0.229,0.663,0.016,0.073,23694,78.54384057,77.5303234,78.4,B,0
2018,TN09,362,9,Tennessee,"COHEN, Stephen",NA,-0.398,20748,0,1,0,0,0,0,0,1,980,35,0.71285469,TN,0.227,0.669,0.017,0.07,23640,78.54384057,77.5303234,78.4,B,0
2019,TN09,362,9,Tennessee,"COHEN, Stephen",NA,-0.398,20748,0,1,0,0,0,0,0,1,830,34,0.744,TN,0.23,0.649,0.024,0.081,25309,78.54384057,77.5303234,78.4,B,0
2020,TN09,362,9,Tennessee,"COHEN, Stephen",NA,-0.398,20748,0,1,0,0,0,0,0,1,1235,55,0.767817862,TN,0.223,0.665,0.018,0.074,24664,78.54384057,77.5303234,78.4,B,0
2013,VA11,414,11,Virginia,"CONNOLLY, Gerald E. (Gerry)",NA,-0.306,20952,0,1,0,0,0,0,0,1,325,20,0.530356952,VA,0.474,0.126,0.179,0.185,48908,70.32489871,66.93161259,62.5,B,0
2014,VA11,414,11,Virginia,"CONNOLLY, Gerald E. (Gerry)",NA,-0.306,20952,0,1,0,0,0,0,0,1,533,25,0.510423878,VA,0.47,0.124,0.174,0.19,47927,70.32489871,66.93161259,62.5,B,0
2015,VA11,414,11,Virginia,"CONNOLLY, Gerald E. (Gerry)",NA,-0.306,20952,0,1,0,0,0,0,0,1,315,14,0.649443606,VA,0.459,0.129,0.181,0.18,49234,70.32489871,66.93161259,62.5,B,0
2016,VA11,414,11,Virginia,"CONNOLLY, Gerald E. (Gerry)",NA,-0.306,20952,0,1,0,0,0,0,0,1,465,17,0.623900016,VA,0.457,0.131,0.186,0.183,48581,70.32489871,66.93161259,62.5,B,0
2017,VA11,414,11,Virginia,"CONNOLLY, Gerald E. (Gerry)",NA,-0.306,20952,0,1,0,0,0,0,0,1,313,16,0.686578932,VA,0.472,0.126,0.183,0.174,49993,70.32489871,66.93161259,62.5,B,0
2018,VA11,414,11,Virginia,"CONNOLLY, Gerald E. (Gerry)",NA,-0.306,20952,0,1,0,0,0,0,0,1,495,27,0.725637225,VA,0.447,0.125,0.174,0.196,49768,70.32489871,66.93161259,62.5,B,0
2019,VA11,414,11,Virginia,"CONNOLLY, Gerald E. (Gerry)",NA,-0.306,20952,0,1,0,0,0,0,0,1,371,27,0.865,VA,0.446,0.134,0.186,0.191,52727,70.32489871,66.93161259,62.5,B,0
2020,VA11,414,11,Virginia,"CONNOLLY, Gerald E. (Gerry)",NA,-0.306,20952,0,1,0,0,0,0,0,1,625,42,0.8235081,VA,0.448,0.128,0.19,0.186,51154,70.32489871,66.93161259,62.5,B,0
2013,VT01,403,1,Vermont,"WELCH, Peter",NA,-0.407,20750,0,1,0,0,0,0,0,1,256,22,0.451865955,VT,0.94,0.011,0.012,0.015,32428,66.43756532,56.67778599,67,B,0
2014,VT01,403,1,Vermont,"WELCH, Peter",NA,-0.407,20750,0,1,0,0,0,0,0,1,419,28,0.364392649,VT,0.932,0.009,0.016,0.017,31934,66.43756532,56.67778599,67,B,0
2015,VT01,403,1,Vermont,"WELCH, Peter",NA,-0.407,20750,0,1,0,0,0,0,0,1,340,14,0.301070291,VT,0.934,0.012,0.014,0.017,34106,66.43756532,56.67778599,67,B,0
2016,VT01,403,1,Vermont,"WELCH, Peter",NA,-0.407,20750,0,1,0,0,0,0,0,1,478,21,0.261993175,VT,0.93,0.012,0.015,0.02,34340,66.43756532,56.67778599,67,B,0
2017,VT01,403,1,Vermont,"WELCH, Peter",NA,-0.407,20750,0,1,0,0,0,0,0,1,362,20,0.474243481,VT,0.928,0.012,0.018,0.019,34258,66.43756532,56.67778599,67,B,0
2018,VT01,403,1,Vermont,"WELCH, Peter",NA,-0.407,20750,0,1,0,0,0,0,0,1,568,38,0.475407765,VT,0.926,0.012,0.019,0.02,35003,66.43756532,56.67778599,67,B,0
2019,VT01,403,1,Vermont,"WELCH, Peter",NA,-0.407,20750,0,1,0,0,0,0,0,1,476,31,0.718,VT,0.925,0.013,0.014,0.02,36148,66.43756532,56.67778599,67,B,0
2020,VT01,403,1,Vermont,"WELCH, Peter",NA,-0.407,20750,0,1,0,0,0,0,0,1,737,43,0.738331829,VT,0.924,0.012,0.016,0.02,35854,66.43756532,56.67778599,67,B,0
2013,WA06,420,6,Washington,"KILMER, Derek",NA,-0.31,21368,0,1,0,0,0,0,0,1,178,10,0.391828855,WA,0.779,0.031,0.044,0.072,32667,57.40239587,51.83187584,56.1,B,0
2014,WA06,420,6,Washington,"KILMER, Derek",NA,-0.31,21368,0,1,0,0,0,0,0,1,337,22,0.459059037,WA,0.771,0.035,0.041,0.077,33094,57.40239587,51.83187584,56.1,B,0
2015,WA06,420,6,Washington,"KILMER, Derek",NA,-0.31,21368,0,1,0,0,0,0,0,1,324,16,0.540334122,WA,0.777,0.032,0.039,0.072,33482,57.40239587,51.83187584,56.1,B,0
2016,WA06,420,6,Washington,"KILMER, Derek",NA,-0.31,21368,0,1,0,0,0,0,0,1,528,27,0.525502997,WA,0.76,0.036,0.041,0.08,35204,57.40239587,51.83187584,56.1,B,0
2017,WA06,420,6,Washington,"KILMER, Derek",NA,-0.31,21368,0,1,0,0,0,0,0,1,392,21,0.605545096,WA,0.766,0.033,0.044,0.077,35499,57.40239587,51.83187584,56.1,B,0
2018,WA06,420,6,Washington,"KILMER, Derek",NA,-0.31,21368,0,1,0,0,0,0,0,1,640,30,0.56436716,WA,0.759,0.03,0.043,0.078,37606,57.40239587,51.83187584,56.1,B,0
2019,WA06,420,6,Washington,"KILMER, Derek",NA,-0.31,21368,0,1,0,0,0,0,0,1,502,28,0.707,WA,0.758,0.039,0.037,0.08,37988,57.40239587,51.83187584,56.1,B,0
2020,WA06,420,6,Washington,"KILMER, Derek",NA,-0.31,21368,0,1,0,0,0,0,0,1,759,35,0.663680442,WA,0.759,0.033,0.039,0.079,37639,57.40239587,51.83187584,56.1,B,0
2013,WA09,423,9,Washington,"SMITH, Adam",NA,-0.286,29768,0,1,0,0,0,0,0,1,149,6,0.404079302,WA,0.485,0.104,0.219,0.12,37716,73.32898616,70.46656502,68.3,B,0
2014,WA09,423,9,Washington,"SMITH, Adam",NA,-0.286,29768,0,1,0,0,0,0,0,1,245,9,0.392177024,WA,0.461,0.103,0.239,0.121,41035,73.32898616,70.46656502,68.3,B,0
2015,WA09,423,9,Washington,"SMITH, Adam",NA,-0.286,29768,0,1,0,0,0,0,0,1,193,5,0.445733899,WA,0.472,0.107,0.221,0.127,42660,73.32898616,70.46656502,68.3,B,0
2016,WA09,423,9,Washington,"SMITH, Adam",NA,-0.286,29768,0,1,0,0,0,0,0,1,339,11,0.366534495,WA,0.465,0.106,0.221,0.124,43331,73.32898616,70.46656502,68.3,B,0
2017,WA09,423,9,Washington,"SMITH, Adam",NA,-0.286,29768,0,1,0,0,0,0,0,1,284,8,0.367887422,WA,0.457,0.111,0.229,0.125,46149,73.32898616,70.46656502,68.3,B,0
2018,WA09,423,9,Washington,"SMITH, Adam",NA,-0.286,29768,0,1,0,0,0,0,0,1,466,14,0.500695231,WA,0.43,0.125,0.232,0.133,45784,73.32898616,70.46656502,68.3,B,0
2019,WA09,423,9,Washington,"SMITH, Adam",NA,-0.286,29768,0,1,0,0,0,0,0,1,369,10,0.558,WA,0.438,0.117,0.239,0.129,50179,73.32898616,70.46656502,68.3,B,0
2020,WA09,423,9,Washington,"SMITH, Adam",NA,-0.286,29768,0,1,0,0,0,0,0,1,600,20,0.537871892,WA,0.437,0.114,0.239,0.128,48108,73.32898616,70.46656502,68.3,B,0
2013,WA10,424,10,Washington,"HECK, Denny",NA,-0.312,21369,0,1,0,0,0,0,0,1,115,2,0.038298123,WA,0.678,0.067,0.064,0.11,29273,56.1962306,51.25103265,56.3,B,0
2014,WA10,424,10,Washington,"HECK, Denny",NA,-0.312,21369,0,1,0,0,0,0,0,1,241,8,0.494286686,WA,0.675,0.057,0.065,0.11,30253,56.1962306,51.25103265,56.3,B,0
2015,WA10,424,10,Washington,"HECK, Denny",NA,-0.312,21369,0,1,0,0,0,0,0,1,180,5,0.322073998,WA,0.663,0.061,0.062,0.118,29799,56.1962306,51.25103265,56.3,B,0
2016,WA10,424,10,Washington,"HECK, Denny",NA,-0.312,21369,0,1,0,0,0,0,0,1,286,11,0.311731905,WA,0.672,0.057,0.063,0.112,32334,56.1962306,51.25103265,56.3,B,0
2017,WA10,424,10,Washington,"HECK, Denny",NA,-0.312,21369,0,1,0,0,0,0,0,1,248,3,0.237171384,WA,0.66,0.061,0.064,0.117,32908,56.1962306,51.25103265,56.3,B,0
2018,WA10,424,10,Washington,"HECK, Denny",NA,-0.312,21369,0,1,0,0,0,0,0,1,362,11,0.425127928,WA,0.65,0.064,0.069,0.123,33501,56.1962306,51.25103265,56.3,B,0
2019,WA10,424,10,Washington,"HECK, Denny",NA,-0.312,21369,0,1,0,0,0,0,0,1,318,14,0.505,WA,0.641,0.062,0.072,0.126,35210,56.1962306,51.25103265,56.3,B,0
2020,WA10,424,10,Washington,"HECK, Denny",NA,-0.312,21369,0,1,0,0,0,0,0,1,502,20,0.63025926,WA,0.646,0.063,0.068,0.123,33817,56.1962306,51.25103265,56.3,B,0
2013,WI02,429,2,Wisconsin,"POCAN, Mark",NA,-0.535,21370,0,1,0,0,0,0,0,1,317,4,0.566044249,WI,0.832,0.042,0.039,0.061,34498,69.37081304,65.77156658,68.3,B,0
2014,WI02,429,2,Wisconsin,"POCAN, Mark",NA,-0.535,21370,0,1,0,0,0,0,0,1,528,14,0.520782064,WI,0.829,0.043,0.04,0.063,34512,69.37081304,65.77156658,68.3,B,0
2015,WI02,429,2,Wisconsin,"POCAN, Mark",NA,-0.535,21370,0,1,0,0,0,0,0,1,480,14,0.569758188,WI,0.828,0.043,0.041,0.062,36661,69.37081304,65.77156658,68.3,B,0
2016,WI02,429,2,Wisconsin,"POCAN, Mark",NA,-0.535,21370,0,1,0,0,0,0,0,1,703,20,0.529594227,WI,0.82,0.042,0.043,0.065,37666,69.37081304,65.77156658,68.3,B,0
2017,WI02,429,2,Wisconsin,"POCAN, Mark",NA,-0.535,21370,0,1,0,0,0,0,0,1,495,12,0.549539417,WI,0.813,0.044,0.046,0.067,37665,69.37081304,65.77156658,68.3,B,0
2018,WI02,429,2,Wisconsin,"POCAN, Mark",NA,-0.535,21370,0,1,0,0,0,0,0,1,768,19,0.53509865,WI,0.816,0.042,0.043,0.067,38641,69.37081304,65.77156658,68.3,B,0
2019,WI02,429,2,Wisconsin,"POCAN, Mark",NA,-0.535,21370,0,1,0,0,0,0,0,1,588,22,0.811,WI,0.813,0.043,0.045,0.068,39809,69.37081304,65.77156658,68.3,B,0
2020,WI02,429,2,Wisconsin,"POCAN, Mark",NA,-0.535,21370,0,1,0,0,0,0,0,1,889,35,0.784595516,WI,0.81,0.042,0.044,0.067,38783,69.37081304,65.77156658,68.3,B,0
2013,WI03,430,3,Wisconsin,"KIND, Ron",NA,-0.26,29769,0,1,0,0,0,0,0,1,185,17,0.525455892,WI,0.927,0.009,0.02,0.023,27217,46.80086032,44.77729416,54.8,B,0
2014,WI03,430,3,Wisconsin,"KIND, Ron",NA,-0.26,29769,0,1,0,0,0,0,0,1,315,25,0.540392015,WI,0.924,0.01,0.023,0.024,28221,46.80086032,44.77729416,54.8,B,0
2015,WI03,430,3,Wisconsin,"KIND, Ron",NA,-0.26,29769,0,1,0,0,0,0,0,1,254,21,0.488173866,WI,0.922,0.01,0.024,0.025,29165,46.80086032,44.77729416,54.8,B,0
2016,WI03,430,3,Wisconsin,"KIND, Ron",NA,-0.26,29769,0,1,0,0,0,0,0,1,417,27,0.464304364,WI,0.92,0.012,0.021,0.026,29313,46.80086032,44.77729416,54.8,B,0
2017,WI03,430,3,Wisconsin,"KIND, Ron",NA,-0.26,29769,0,1,0,0,0,0,0,1,318,18,0.436815954,WI,0.918,0.012,0.02,0.027,30065,46.80086032,44.77729416,54.8,B,0
2018,WI03,430,3,Wisconsin,"KIND, Ron",NA,-0.26,29769,0,1,0,0,0,0,0,1,454,21,0.397814601,WI,0.913,0.011,0.024,0.028,30327,46.80086032,44.77729416,54.8,B,0
2019,WI03,430,3,Wisconsin,"KIND, Ron",NA,-0.26,29769,0,1,0,0,0,0,0,1,294,38,0.968,WI,0.913,0.015,0.025,0.029,31749,46.80086032,44.77729416,54.8,B,0
2020,WI03,430,3,Wisconsin,"KIND, Ron",NA,-0.26,29769,0,1,0,0,0,0,0,1,433,53,0.931200777,WI,0.912,0.012,0.022,0.029,30978,46.80086032,44.77729416,54.8,B,0
